ZIP,Date,Forecast_ZHVI,Lower_95_CI,Upper_95_CI,MAE,MSE,RMSE
80903,2024-12-31,386871.62,342724.584375,426967.27578125,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-01-31,389381.53,339139.91875,434135.48828125,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-02-28,389541.6,336419.40859375,435711.52734375,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-03-31,394941.6,350775.82734375,437992.990625,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-04-30,393243.9,342588.4953125,444297.42578124994,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-05-31,393499.28,345052.59609375,436184.771875,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-06-30,390717.8,342602.0359375,446015.50546874997,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-07-31,394114.3,342260.3875,451225.91874999995,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-08-31,391717.88,346926.11640625,444156.57968749997,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-09-30,394625.3,347081.34609375,452468.76015625,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-10-31,391842.62,344146.7203125,437173.01093749993,13690.81652121467,209544073.14487407,14475.63722759292
80903,2025-11-30,397919.1,346229.40859375,453662.88359374995,13690.81652121467,209544073.14487407,14475.63722759292
80904,2024-12-31,449589.3,401628.7703125,503133.2765625,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-01-31,454012.47,408351.43125,499866.63984375,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-02-28,455320.88,407594.0421875,493792.64296875,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-03-31,456678.38,405091.64296875,502594.72031249997,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-04-30,455828.16,407666.78828125,503238.253125,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-05-31,449965.8,403146.4140625,496875.75937499997,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-06-30,450269.4,401067.6203125,508030.39921874995,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-07-31,453857.56,406804.5125,498409.796875,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-08-31,457729.9,394511.8984375,508452.65624999994,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-09-30,453795.72,405134.82421875,500894.3843749999,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-10-31,457349.84,402932.565625,503644.97031249997,31466.643399316003,1079967027.0465925,32862.851778970624
80904,2025-11-30,452827.0,397929.7453125,509351.1765624999,31466.643399316003,1079967027.0465925,32862.851778970624
80905,2024-12-31,402705.1,354101.2953125,451368.20859374985,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-01-31,398338.2,354790.7,447410.0335937499,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-02-28,397612.7,352131.60546875,447094.42109375,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-03-31,398379.88,352423.38828125,447389.0296875,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-04-30,405850.56,361063.071875,466645.3585937498,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-05-31,407047.12,351284.08671875,457752.46874999994,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-06-30,401796.9,357029.8171875,455101.7539062499,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-07-31,410824.16,353184.43203125,473003.3796875,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-08-31,409216.72,358036.715625,477632.56406249997,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-09-30,407097.4,347716.9484375,463975.75859375,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-10-31,409622.84,366429.565625,465409.4046875,29891.29931785492,981334332.671628,31326.25628241632
80905,2025-11-30,410557.9,348048.50390625,468882.16640625,29891.29931785492,981334332.671628,31326.25628241632
80906,2024-12-31,580915.94,530692.6234375,630016.9,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-01-31,584394.7,530363.1953125,633457.7609374999,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-02-28,584022.75,528347.6578125,635838.68125,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-03-31,590272.06,536664.7578125,641870.275,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-04-30,587915.3,541456.5296875,633491.7671875,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-05-31,587238.8,539189.15625,634047.975,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-06-30,589652.2,539154.584375,636006.4,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-07-31,593409.5,532812.2375,650902.9390625,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-08-31,595482.2,539720.0390625,663027.0234375,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-09-30,595436.94,524521.59140625,663484.1203124999,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-10-31,602322.44,548211.8578125,666624.9921875,41413.04090624801,1908952563.80083,43691.56170018222
80906,2025-11-30,600853.94,554878.50625,650992.6203124999,41413.04090624801,1908952563.80083,43691.56170018222
80907,2024-12-31,406668.1,365034.25,441126.78125,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-01-31,403163.16,364768.1,447300.99765624997,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-02-28,402797.03,359816.9328125,447390.92968749994,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-03-31,403856.88,365360.98125,437809.7265625,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-04-30,398944.9,357336.98359375,436728.2265625,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-05-31,397114.56,352440.2609375,439840.028125,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-06-30,396389.1,345465.0625,442101.34140625,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-07-31,396567.12,352449.76953125,445532.68437499995,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-08-31,401325.16,355269.3171875,445990.0999999999,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-09-30,394509.7,347428.86875,436201.41015625,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-10-31,395662.3,354809.1328125,441031.20234375,4409.87414712959,25701824.064310152,5069.696644209607
80907,2025-11-30,394251.56,351409.978125,441436.75625,4409.87414712959,25701824.064310152,5069.696644209607
80908,2024-12-31,703284.56,624719.7765625,781315.928125,18097.46728363509,445610290.56715375,21109.483427292904
80908,2025-01-31,706270.6,615578.4125,782855.35,18097.46728363509,445610290.56715375,21109.483427292904
80908,2025-02-28,703160.2,618371.33125,779125.8890625,18097.46728363509,445610290.56715375,21109.483427292904
80908,2025-03-31,715423.8,625311.465625,797518.3984375,18097.46728363509,445610290.56715375,21109.483427292904
80908,2025-04-30,703680.5,625729.078125,785981.190625,18097.46728363509,445610290.56715375,21109.483427292904
80908,2025-05-31,715684.6,619017.7328125,819991.9859375,18097.46728363509,445610290.56715375,21109.483427292904
80908,2025-06-30,718302.5,623810.6125,813648.0218749999,18097.46728363509,445610290.56715375,21109.483427292904
80908,2025-07-31,721341.7,632273.86875,801930.534375,18097.46728363509,445610290.56715375,21109.483427292904
