PLAT,LotCoverage
-,16.2
15098,21.5
C00033,104.3
C00040,51.5
C00046,68.5
C00048,79.9
C00052,69.7
C00060,60.9
C00068,97.5
C00073,74.9
C00078,70.1
C00079,101.4
C00080,16.2
C00085,96.3
C00098,98.8
C00105,98.1
C00109,102.3
C00115,70.3
C00118,93.2
C00125,98.3
C00131,102.1
C00138,102.4
C00145,102.0
C00151,97.0
C00154,99.0
C00156,59.5
C00157,97.0
C00170,102.2
C00196,71.2
C00214,97.3
C00233,97.0
C00247,98.7
C00250,13.0
C00262,100.7
C00292,98.4
C00301,17.3
C00319,37.0
C00331,59.5
C00340,22.8
C00372,17.3
C00381,91.1
C00384,63.6
C00408,98.4
C00420,37.1
C00427,69.2
C00447,68.9
C00451,26.7
C00454,17.9
C00463,107.0
C00465,100.8
C00476,103.3
C00495,102.8
C00499,102.3
C00504,102.0
C00507,142.9
C00508,124.5
C00521,82.7
C00580,133.3
C00586,167.1
C00592,123.2
C00594,235.1
C00596,223.5
C00598,18.1
C00599,229.6
C00602,223.5
C00808,25.5
C00858,16.8
C00950,18.9
C00983,5.7
C02148,34.8
C02822,49.6
C02913,48.9
C03034,49.7
C03069,76.8
C03321,71.3
C03501,73.1
C03931,56.7
C03948,87.5
C04270,49.9
C04375,101.5
C04460,89.5
C04561,78.4
C04957,98.8
C05066,53.3
C05153,97.3
C05337,55.3
C05405,91.2
C05430,25.1
C05552,55.0
C05618,28.8
C05619,132.9
C05701,97.9
C05759,69.7
C05800,78.7
C05801,69.3
C05812,68.5
C05844,34.5
C06003,96.3
C06011,61.0
C06049,63.8
C06052,28.9
C06111,82.6
C06149,79.2
C06165,97.4
C06204,27.3
C06245,78.2
C06265,41.7
C06292,63.5
C06293,63.5
C06354,24.8
C06363,64.9
C06391,111.1
C06427,68.0
C06476,98.6
C06485,108.0
C06515,40.9
C06555,98.9
C06574,35.6
C06579,58.8
C06615,75.0
C06620,45.5
C06632,56.9
C06723,110.2
C06727,79.3
C06749,96.6
C06791,71.0
C06792,83.5
C06793,63.7
C06808,60.3
C06829,28.6
C06882,39.6
C06944,44.9
C07075,146.6
C07076,86.3
C07178,83.3
C07265,91.5
C07302,86.1
C07305,74.2
C07308,133.9
C07309,151.4
C07321,20.0
C07362,60.2
C07455,24.2
C07498,81.0
C07545,155.6
C07556,68.3
C07628,80.8
C07698,86.0
C07746,49.9
C07782,78.1
C07783,77.7
C07787,80.8
C07881,55.6
C07951,57.1
C08118,78.4
C08671,58.3
C08980,45.4
C09187,78.1
C09246,94.9
C09277,65.2
C09349,162.3
C09359,80.5
C09444,80.6
C09461,92.5
C09567,93.8
C09580,97.0
