ZIPCODE,LotCoverage
00802,17.3
01089,12.4
01453,23.2
01468,10.4
01545,17.3
01701,20.9
01720,19.9
01730,9.0
01731,29.1
01757,26.0
01921,30.7
01930,15.6
01945,19.5
02040,14.5
02081,17.6
02110,73.1
02130,14.6
02134,24.5
02176,15.4
02184,24.0
02215,22.6
02346,24.6
02360,31.9
02420,21.2
02446,13.4
02468,25.6
02476,98.3
02478,25.9
02556,16.0
02559,22.5
02563,22.0
02653,15.1
02660,18.5
02777,19.6
02790,22.3
02818,18.7
02840,22.4
02842,21.2
02852,21.5
02871,27.8
02891,16.5
02906,18.8
03033,15.8
03053,16.0
03063,75.9
03110,9.9
03751,24.5
03904,29.7
04429,87.4
04457,15.9
04472,21.6
05032,17.3
05404,17.1
05446,20.9
05452,26.7
05471,31.7
05663,16.8
06010,24.6
06033,98.9
06043,26.1
06082,22.7
06360,18.6
06410,21.5
06450,29.6
06470,19.4
06477,19.8
06514,22.5
06611,16.8
06757,23.5
06840,22.3
06880,6.5
06897,20.4
07002,15.9
07052,86.2
07093,9.6
07304,18.1
07310,19.8
07424,92.6
07462,19.8
07481,20.5
07666,52.0
07670,16.0
07747,21.3
07825,18.7
07834,56.3
07869,19.9
07932,17.2
07940,21.6
07960,12.1
08004,19.2
08015,20.9
08016,19.7
08054,14.3
08080,16.5
08087,18.0
08230,30.5
08260,21.3
08501,26.1
08512,40.2
08527,23.0
08536,88.3
08641,35.3
08648,24.6
08742,16.7
08753,20.9
08758,37.2
08827,22.4
08830,12.8
08844,16.5
08846,20.7
09012,29.6
09020,25.5
09021,15.2
09044,34.6
09046,22.1
09067,19.8
09095,16.3
09096,27.3
09112,18.1
09114,13.3
09123,16.6
09128,21.7
09142,15.9
09173,24.3
09180,17.1
09226,24.7
09227,19.2
09250,29.7
09263,29.7
09266,19.2
09312,33.1
09356,30.5
09366,30.3
09459,27.9
09468,25.1
09469,36.8
09470,16.4
09494,14.8
09603,26.7
09606,21.6
09618,37.0
09620,18.3
