ZIP,Date,Forecast_ZHVI,Lower_95_CI,Upper_95_CI,MAE,MSE,RMSE
80903,2024-12-31,382241.90706107026,379698.79649232654,384802.0506344603,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-01-31,382012.10077345336,376549.2874102253,387554.16625808814,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-02-28,381502.8974089028,372716.66152670496,390496.2556146947,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-03-31,381131.89386334957,368757.5426456726,393921.48965327255,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-04-30,380866.74915522244,364734.6166664382,397712.40234301315,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-05-31,380462.82626078767,360481.6528574414,401551.5381127897,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-06-30,380111.033292475,356231.8869672462,405590.8606630648,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-07-31,379794.62876921013,352005.3276990756,409777.77519678406,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-08-31,379297.9811260183,347631.0396913193,413849.57630371756,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-09-30,379042.8611653243,343517.6528466019,418241.94305540633,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-10-31,378702.90612623084,339380.89307129,422580.9231939496,5239.444412444063,27653581.138985287,5258.667239803759
80903,2025-11-30,378362.99280320347,335310.0838184986,426943.77900214866,5239.444412444063,27653581.138985287,5258.667239803759
80904,2024-12-31,454644.58053421974,451977.77623841696,457327.1197743627,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-01-31,454923.93893537653,449177.14136729593,460744.2613542275,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-02-28,455388.48676527693,446105.8796924339,464864.2470736886,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-03-31,456210.6448092808,443076.0441913593,469734.60913949047,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-04-30,457535.34843780956,440318.4869053536,475425.4052365171,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-05-31,458554.9591160924,437121.1312236742,481039.7748132771,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-06-30,459239.1634385314,433516.4593244308,486488.12449792237,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-07-31,459615.1271046354,429579.1482551563,491751.20794721803,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-08-31,460036.55089845054,425675.654521816,497171.0876918295,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-09-30,460782.68010494387,422083.92557603493,503029.52900879236,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-10-31,461512.6029580902,418503.8323767773,508941.2956615276,6517.026387915806,44699682.08351892,6685.782084656882
80904,2025-11-30,462349.01276048954,415059.8280886533,515026.01585172093,6517.026387915806,44699682.08351892,6685.782084656882
80905,2024-12-31,393428.5902559718,390870.7797533142,396003.13875723764,2480.318020867053,6235008.720790498,2496.9999440910083
80905,2025-01-31,393644.4907800145,388138.2182549841,399228.8773265298,2480.318020867053,6235008.720790498,2496.9999440910083
